UF,nome_municipio,pop_est,pop_est_2016,geocodigo
PA,São Geraldo do Araguaia,24705,24394,1507458
PA,São João da Ponta,6217,5884,1507466
PA,São João de Pirabas,23244,22207,1507474
PA,São João do Araguaia,14051,13569,1507508
PA,São Miguel do Guamá,59632,56667,1507607
PA,São Sebastião da Boa Vista,26974,25540,1507706
PA,Sapucaia,6009,5678,1507755
PA,Senador José Porfírio,11480,11587,1507805
PA,Soure,25565,24488,1507904
PA,Tailândia,108969,100300,1507953
PA,Terra Alta,11847,11262,1507961
PA,Terra Santa,18917,18105,1507979
PA,Tomé-Açu,64030,61095,1508001
PA,Tracuateua,31257,29793,1508035
PA,Trairão,19168,18280,1508050
PA,Tucumã,40136,37920,1508084
PA,Tucuruí,115144,108885,1508100
PA,Ulianópolis,60761,55739,1508126
PA,Uruará,45435,44370,1508159
PA,Vigia,54172,51705,1508209
PA,Viseu,61751,59401,1508308
PA,Vitória do Xingu,15279,14566,1508357
PA,Xinguara,45086,43188,1508407
AP,Serra do Navio,5488,5025,1600055
AP,Amapá,9187,8690,1600105
AP,Pedra Branca do Amapari,17067,14560,1600154
AP,Calçoene,11306,10345,1600204
AP,Cutias,6101,5523,1600212
AP,Ferreira Gomes,7967,7087,1600238
AP,Itaubal,5617,5061,1600253
AP,Laranjal do Jari,51362,46639,1600279
AP,Macapá,512902,465495,1600303
AP,Mazagão,22053,19981,1600402
AP,Oiapoque,27906,24892,1600501
AP,Porto Grande,22452,20143,1600535
AP,Pracuúba,5246,4655,1600550
AP,Santana,123096,113854,1600600
AP,Tartarugalzinho,17769,15665,1600709
AP,Vitória do Jari,16254,14680,1600808
TO,Abreulândia,2594,2555,1700251
TO,Aguiarnópolis,6892,6307,1700301
TO,Aliança do Tocantins,5346,5565,1700350
TO,Almas,6979,7340,1700400
TO,Alvorada,8396,8526,1700707
TO,Ananás,9492,9798,1701002
TO,Angico,3454,3401,1701051
TO,Aparecida do Rio Negro,4848,4672,1701101
TO,Aragominas,5731,5887,1701309
TO,Araguacema,7155,6934,1701903
TO,Araguaçu,8467,8734,1702000
TO,Araguaína,183381,173112,1702109
TO,Araguanã,5793,5581,1702158
TO,Araguatins,36170,34810,1702208
TO,Arapoema,6616,6777,1702307
TO,Arraias,10534,10752,1702406
TO,Augustinópolis,18643,17861,1702554
TO,Aurora do Tocantins,3783,3709,1702703
TO,Axixá do Tocantins,9787,9741,1702901
TO,Babaçulândia,10666,10744,1703008
TO,Bandeirantes do Tocantins,3592,3460,1703057
TO,Barra do Ouro,4632,4503,1703073
TO,Barrolândia,5651,5622,1703107
TO,Bernardo Sayão,4448,4525,1703206
TO,Bom Jesus do Tocantins,5008,4590,1703305
TO,Brasilândia do Tocantins,2211,2188,1703602
TO,Brejinho de Nazaré,5519,5475,1703701
TO,Buriti do Tocantins,11497,10988,1703800
TO,Cachoeirinha,2284,2266,1703826
TO,Campos Lindos,10312,9604,1703842
TO,Cariri do Tocantins,4441,4238,1703867
TO,Carmolândia,2603,2531,1703883
TO,Carrasco Bonito,4130,4019,1703891
TO,Caseara,5442,5193,1703909
TO,Centenário,2936,2835,1704105
TO,Chapada de Areia,1410,1402,1704600
TO,Chapada da Natividade,3331,3363,1705102
TO,Colinas do Tocantins,35851,34416,1705508
TO,Combinado,4861,4863,1705557
TO,Conceição do Tocantins,4087,4194,1705607
TO,Couto Magalhães,5639,5477,1706001
TO,Cristalândia,7278,7380,1706100
TO,Crixás do Tocantins,1735,1694,1706258
TO,Darcinópolis,6174,5912,1706506
TO,Dianópolis,22424,21457,1707009
TO,Divinópolis do Tocantins,6943,6823,1707108
TO,Dois Irmãos do Tocantins,7185,7294,1707207
TO,Dueré,4686,4725,1707306
TO,Esperantina,11139,10651,1707405
TO,Fátima,3830,3882,1707553
TO,Figueirópolis,5243,5369,1707652
TO,Filadélfia,8874,8871,1707702
TO,Formoso do Araguaia,18399,18713,1708205
TO,Fortaleza do Tabocão,2602,2570,1708254
TO,Goianorte,5130,5144,1708304
TO,Goiatins,13095,12894,1709005
TO,Guaraí,26165,25399,1709302
TO,Gurupi,87545,84628,1709500
TO,Ipueiras,2052,1918,1709807
TO,Itacajá,7452,7434,1710508
TO,Itaguatins,5832,6007,1710706
TO,Itapiratins,3795,3752,1710904
TO,Itaporã do Tocantins,2420,2470,1711100
TO,Jaú do Tocantins,3878,3791,1711506
TO,Juarina,2184,2237,1711803
TO,Lagoa da Confusão,13676,12501,1711902
TO,Lagoa do Tocantins,4393,4115,1711951
TO,Lajeado,3167,3059,1712009
TO,Lavandeira,1954,1845,1712157
TO,Lizarda,3733,3791,1712405
TO,Luzinópolis,3154,2992,1712454
TO,Marianópolis do Tocantins,5254,4976,1712504
TO,Mateiros,2729,2570,1712702
TO,Maurilândia do Tocantins,3448,3386,1712801
TO,Miracema do Tocantins,17936,19340,1713205
TO,Miranorte,13493,13363,1713304
TO,Monte do Carmo,8066,7654,1713601
TO,Monte Santo do Tocantins,2295,2248,1713700
TO,Palmeiras do Tocantins,6745,6450,1713809
TO,Muricilândia,3587,3470,1713957
TO,Natividade,9250,9301,1714203
TO,Nazaré,3834,4118,1714302
TO,Nova Olinda,11917,11616,1714880
TO,Nova Rosalândia,4304,4159,1715002
TO,Novo Acordo,4397,4213,1715101
TO,Novo Alegre,2332,2352,1715150
TO,Novo Jardim,2745,2674,1715259
TO,Oliveira de Fátima,1118,1104,1715507
TO,Palmeirante,6131,5757,1715705
TO,Palmeirópolis,7676,7666,1715754
TO,Paraíso do Tocantins,51891,49727,1716109
TO,Paranã,10437,10568,1716208
TO,Pau D'Arco,4867,4834,1716307
TO,Pedro Afonso,13773,13097,1716505
TO,Peixe,11873,11467,1716604
TO,Pequizeiro,5512,5418,1716653
TO,Colméia,8141,8465,1716703
TO,Pindorama do Tocantins,4430,4534,1717008
TO,Piraquê,3033,3038,1717206
TO,Pium,7743,7447,1717503
TO,Ponte Alta do Bom Jesus,4591,4647,1717800
TO,Ponte Alta do Tocantins,8116,7872,1717909
TO,Porto Alegre do Tocantins,3170,3071,1718006
TO,Porto Nacional,53316,52510,1718204
TO,Praia Norte,8498,8298,1718303
TO,Presidente Kennedy,3676,3738,1718402
TO,Pugmil,2717,2621,1718451
TO,Recursolândia,4342,4182,1718501
TO,Riachinho,4684,4561,1718550
TO,Rio da Conceição,2171,2021,1718659
TO,Rio dos Bois,2856,2787,1718709
TO,Rio Sono,6488,6500,1718758
TO,Sampaio,4794,4498,1718808
TO,Sandolândia,3373,3410,1718840
TO,Santa Fé do Araguaia,7595,7318,1718865
TO,Santa Maria do Tocantins,3486,3305,1718881
TO,Santa Rita do Tocantins,2386,2322,1718899
TO,Santa Rosa do Tocantins,4846,4814,1718907
TO,Santa Tereza do Tocantins,2897,2794,1719004
TO,Santa Terezinha do Tocantins,2530,2548,1720002
TO,São Bento do Tocantins,5391,5164,1720101
TO,São Félix do Tocantins,1598,1559,1720150
TO,São Miguel do Tocantins,12294,11754,1720200
TO,São Salvador do Tocantins,3094,3071,1720259
TO,São Sebastião do Tocantins,4852,4702,1720309
TO,São Valério,3904,4161,1720499
TO,Silvanópolis,5428,5372,1720655
TO,Sítio Novo do Tocantins,8997,9217,1720804
TO,Sucupira,1986,1921,1720853
TO,Taguatinga,16825,16386,1720903
TO,Taipas do Tocantins,2166,2112,1720937
TO,Talismã,2812,2757,1720978
TO,Palmas,306296,279856,1721000
TO,Tocantínia,7617,7387,1721109
TO,Tocantinópolis,22845,23130,1721208
TO,Tupirama,1922,1813,1721257
TO,Tupiratins,2729,2518,1721307
TO,Wanderlândia,11734,11622,1722081
TO,Xambioá,11520,11695,1722107
MA,Açailândia,113121,110543,2100055
MA,Afonso Cunha,6578,6421,2100105
MA,Água Doce do Maranhão,12652,12360,2100154
MA,Alcântara,22112,21667,2100204
MA,Aldeias Altas,26757,26115,2100303
MA,Altamira do Maranhão,8189,10210,2100402
MA,Alto Alegre do Maranhão,27858,26619,2100436
MA,Alto Alegre do Pindaré,31943,31303,2100477
MA,Alto Parnaíba,11212,10979,2100501
MA,Amapá do Maranhão,7005,6844,2100550
MA,Amarante do Maranhão,41729,40756,2100600
MA,Anajatuba,26988,27125,2100709
MA,Anapurus,15894,15499,2100808
MA,Apicum-Açu,17413,18169,2100832
MA,Araguanã,15551,15182,2100873
MA,Araioses,46771,45680,2100907
MA,Arame,32764,32083,2100956
MA,Arari,29932,29297,2101004
MA,Axixá,12183,11915,2101103
MA,Bacabal,104790,103020,2101202
MA,Bacabeira,17252,16812,2101251
MA,Bacuri,18654,17388,2101301
MA,Bacurituba,5670,5544,2101350
MA,Balsas,95929,93511,2101400
MA,Barão de Grajaú,18924,18496,2101509
MA,Barra do Corda,88492,86662,2101608
MA,Barreirinhas,63217,61621,2101707
MA,Belágua,7528,7350,2101731
MA,Bela Vista do Maranhão,11279,11020,2101772
MA,Benedito Leite,5638,5524,2101806
MA,Bequimão,21299,20867,2101905
MA,Bernardo do Mearim,6073,5938,2101939
MA,Boa Vista do Gurupi,8382,9164,2101970
MA,Bom Jardim,41822,40898,2102002
MA,Bom Jesus das Selvas,34567,33615,2102036
MA,Bom Lugar,16438,16041,2102077
MA,Brejo,36651,35799,2102101
MA,Brejo de Areia,9014,10444,2102150
MA,Buriti,28798,28170,2102200
MA,Buriti Bravo,23939,23437,2102309
MA,Buriticupu,72983,71227,2102325
MA,Buritirana,15467,15142,2102358
MA,Cachoeira Grande,9478,8878,2102374
MA,Cajapió,11216,10975,2102408
MA,Cajari,19451,19030,2102507
MA,Campestre do Maranhão,14453,14127,2102556
MA,Cândido Mendes,20278,19827,2102606
MA,Cantanhede,22117,21617,2102705
MA,Capinzal do Norte,10935,10716,2102754
MA,Carolina,24165,23833,2102804
MA,Carutapera,23952,23404,2102903
MA,Caxias,165525,161926,2103000
MA,Cedral,10693,10473,2103109
MA,Central do Maranhão,8740,8534,2103125
MA,Centro do Guilherme,13670,13295,2103158
MA,Centro Novo do Maranhão,21840,21300,2103174
MA,Chapadinha,80195,78348,2103208
MA,Cidelândia,14777,14446,2103257
MA,Codó,123116,120548,2103307
MA,Coelho Neto,49621,48546,2103406
MA,Colinas,41312,40427,2103505
MA,Conceição do Lago-Açu,16400,15995,2103554
MA,Coroatá,65544,64123,2103604
MA,Cururupu,32626,30805,2103703
MA,Davinópolis,12916,12656,2103752
MA,Dom Pedro,23372,22897,2103802
MA,Duque Bacelar,11401,11148,2103901
MA,Esperantinópolis,17104,16833,2104008
MA,Estreito,42527,41397,2104057
MA,Feira Nova do Maranhão,8484,8347,2104073
MA,Fernando Falcão,10460,10204,2104081
MA,Formosa da Serra Negra,19258,18793,2104099
MA,Fortaleza dos Nogueiras,12647,12390,2104107
MA,Fortuna,15567,15251,2104206
MA,Godofredo Viana,11963,11654,2104305
MA,Gonçalves Dias,17944,17583,2104404
MA,Governador Archer,10886,10648,2104503
MA,Governador Edison Lobão,18520,18042,2104552
MA,Governador Eugênio Barros,16882,16522,2104602
MA,Governador Luiz Rocha,7841,7668,2104628
MA,Governador Newton Bello,10151,9965,2104651
MA,Governador Nunes Freire,25539,25052,2104677
MA,Graça Aranha,6261,6138,2104701
MA,Grajaú,70065,68458,2104800
MA,Guimarães,11997,11776,2104909
MA,Humberto de Campos,28932,28252,2105005
MA,Icatu,27269,26651,2105104
MA,Igarapé do Meio,14324,13968,2105153
MA,Igarapé Grande,11387,11718,2105203
MA,Imperatriz,259337,253873,2105302
MA,Itaipava do Grajaú,16005,15817,2105351
MA,Itapecuru Mirim,68723,67104,2105401
MA,Itinga do Maranhão,26068,25518,2105427
MA,Jatobá,10310,10027,2105450
MA,Jenipapo dos Vieiras,17040,16226,2105476
MA,João Lisboa,23740,23133,2105500
